name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Olympic;aroma;USA;Brewer's Gold,Chinook,Galena;Citrus,Spicy;;olympic (us)
Omega;aroma;GBR;;;;
Opal;dual-purpose;GER;;;;opal (de)
Opus;aroma;;;;;
Orbit;dual-purpose;NZL;;Sweet,Tropical Fruits;;orbit (nz)
Orion;dual-purpose;GER;;;;orion (de)
Outeniqua;bittering;;;;;
Pacific Crest;aroma;USA;;;;pacific crest (us)
Pacific Gem;bittering;NZL;Belma,Bullion,Cluster,Galena,Magnum;Berry,Blackberry,Floral,Oak,Pepper,Pine;;pacific gem (nz)
Pacific Jade;aroma;NZL;Cluster,Hallertauer Mittelfrüh,Saaz;Citrus,Herbal,Pepper,Spicy;;Jade,pacific jade (nz)
Pacific Sunrise;bittering;NZL;;;;pacific sunrise (nz)
Pacifica;aroma;NZL;Chinook,Hallertauer Mittelfrüh;Citrus,Floral,Hay,Honey,Marmalade,Orange;Pacific Hallertau;pacifica (nz),hallertau pacifica (nz),pacifica hallertau (nz)
Pahto;bittering;USA;;;HBC 682;pahto (us)
Palisade;aroma;USA;Glacier,Willamette;Apricot,Clean,Floral,Honey,Orange,Passionfruit,Yogurt;;Palisades,Pallisade,palisade (us)
Paradigm;aroma;USA;;;;
Pekko;bittering;USA;;;;pekko (us)
Perle;dual-purpose;GER,USA;Cluster,Galena,Hallertauer Aroma,Hallertauer Mittelfrüh,Northern Brewer;Earthy,Floral,Fruity,Herbal,Mint,Spicy,Stonefruit;;Pearl,Pearle,perle (us),german perle,perle (de),hallertau perle,perla
Petham Golding;aroma;;;;;
Petoskey;aroma;;;;;Petosky
Phoenix;dual-purpose;GBR;Challenger,East Kent Golding,Northdown;Chocolate,Floral,Molasses,Pine,Spicy;;Phoenix (uk)
Pilgrim;dual-purpose;GBR;Challenger,Pioneer;Berry,Citrus,Fruity,Grapefruit,Lemon,Pear,Spicy;;Pilgrin,Pilgrim (uk),pligrim,pilgram,pil
Pilot;bittering;GBR;;;;pilot (uk)
Pink Boots;dual-purpose;USA;;Citrus,Floral,Grassy,Tropical Fruits,Woody;;
Pioneer;dual-purpose;GBR;;;;
Pocket Talisman;aroma;;;;;
Polaris;dual-purpose;GER;Herkules;Menthol,Mint,Pineapple;;polaris (de),polars
Precoce de Bourgogne;aroma;;;;;
Premiant;aroma;CZH;Saaz,Styrian Golding;;;
Pride of Kent;dual-purpose;;;;;
Pride of Ringwood;bittering;AUS;Centennial,Cluster,Galena;Cedar,Herbal,Oak;;Pride of Ringwood (au)
Progress;aroma;GBR;Fuggle;;;progress (uk)
ProvOAK;aroma;;;;;
Puławski;dual-purpose;;;;;
Rakau;dual-purpose;NZL;Amarillo,Summit;Apricot,Fig,Fruity,Pine,Resin,Stonefruit;AlphAroma;Raku,Rakua,AlphaAroma,rakau (au),rakau (nz),Rakeu
Record;aroma;;;;;
Red Earth;aroma;;;;;
Relax;aroma;GER;;;;
Revolution;dual-purpose;NZL;;Tropical/Fruit, Citrus, Stone Fruit;;NZ Revolution Blend
Riwaka;aroma;NZL;Calypso,Centennial,Citra,Saaz;Citrus,Grapefruit,Passionfruit,Tropical Fruits;;Rikawa,riwaka (nz)
Rubin;bittering;;;;;
Saaz;aroma;CZH,USA;Lubelska,Sorachi Ace,Sterling,Tettnanger;Earthy,Floral,Herbal,Mild,Noble,Spicy;;Saazer,Saab,Saa,Sazz,Zatec,Zatecky,ŽPČ,saaz (us),czech saaz,american saaz,zpc,sass,plč žatec,Saaz (CZ)
Sabro;aroma;USA;;Cedar,Citrus,Coconut,Cream,Herbal,Mint,Stonefruit,Tangerine,Tropical Fruits;HBC 438;Sabco,Sobro,sabro (us),sab,hop 438,hop #438
Samba;aroma;USA;;;;samba (us)
san juan ruby red;aroma;USA;;;;san juan ruby red (us)
Santiam;aroma;USA;Spalter,Spalter Select,Tettnanger;;;santiam (us),santium,santium (us)
Saphir;aroma;GER;Hallertauer Mittelfrüh,Spalter Select;Floral,Fruity,Spicy,Tangerine;;Safir,Saphier,Saphire,saphir (de),saphir (german)
Sasquatch;dual-purpose;CAN;;Floral,Lemon,Tangerine;;
Satus;bittering;USA;;;;
Saxon;aroma;;;;;
Serebrianka;aroma;;;;;
Shinshuwase;aroma;;;;;
Simcoe;dual-purpose;USA;Amarillo,Cascade,Centennial,Citra,Columbus,Magnum,Mosaic,Summit;Apricot,Berry,Bubblegum,Citrus,Earthy,Fruity,Grapefruit,Passionfruit,Pine;;Semcoe,Simceo,Simco,simcoe (us)
Sládek;aroma;CZH;Northern Brewer,Saaz;Fruity,Grapefruit,Noble,Passionfruit,Peach;;sladek,sladek (cz),Zladek
